comment_id	user_id	media_id	parent_comment_id	content	timestamp	deleted	tag	upvotes	downvotes	user_vote_type	username	profile_picture_url	is_mod	is_admin	reply_count	total_votes
30704	6415908	187264		next episode or next next episode would be ||Ohrun defeating the black dragon||	2026-01-08T00:37:17.000Z			0	0		NULL	NULL	0	0	1	0
30532	6415908	187264		wait, so TOWA-sama will sang the OP of this anime?	2026-01-03T00:30:17.000Z			0	0		NULL	NULL	0	0	0	0
30485	6768413	187264		Had to skip through this ep for how painfully cliche it was. I guess no creativity sells more these days.	2026-01-01T15:05:46.000Z			1	0		NULL	NULL	0	0	0	1
30457	6785442	187264		black spiky hair: ✅ black cloak: ✅ lack of personality other than an insufferable inferiority complex: ✅ Loli: ✅ stronger than everyone around him: ✅ betrayed by his party: ✅   looking like a 10/10 ngl.	2025-12-31T21:18:57.000Z			6	0		NULL	NULL	0	0	2	6
25907	6415908	187264		another synonym of tsuiho	2025-07-19T12:50:33.000Z			0	0		NULL	NULL	0	0	0	0
22194	6120929	187264		"this ""kicked out of hero party"" is becoming too cliche. 😔 Most of the fantasy I am seeing are like this."	2025-04-07T17:19:47.000Z			1	0		NULL	NULL	0	0	1	1
30718	6535346	192261		I'm guessing she's not really a kid and only becomes one during the day and is possibly suffering from memory loss or something?	2026-01-08T05:45:38.000Z			0	0		NULL	NULL	0	0	0	0
30712	6110383	192261		Just read the Manga until chapter 4 just to confirm. Seems to still be wholesome but she does grow big at night. Still a kid though.. Like the arancar kid in bleach who turns big.. 	2026-01-08T03:26:03.000Z			0	0		NULL	NULL	0	0	0	0
30698	7208825	192261		the complete 180 from wholesome to total degen 😂	2026-01-07T22:24:01.000Z			2	0		NULL	NULL	0	0	0	2
30686	382050	192261		The show was going so well, I really liked it... ||Then that ending, if they approach this poorly, I'm going to be very upset. Succubus? Really?||	2026-01-07T19:53:28.000Z			0	0		NULL	NULL	0	0	0	0
30684	6907832	192261		average generic fantasy there was a similar anime just like this I remember watching 	2026-01-07T19:28:52.000Z			0	0		NULL	NULL	0	0	0	0
30673	5911043	192261		ok, it's better than i expected 	2026-01-07T15:46:48.000Z			0	0		NULL	NULL	0	0	0	0
30695	7171235	180746		this is like the movie Jigsaw but with no blood and it is waaay cuter. I want them to show me Yuki's first time (not in a perv way).	2026-01-07T21:53:33.000Z			0	0		NULL	NULL	0	0	0	0
30689	7460497	180746		this was Monogatari 1st episode levels of creepy.	2026-01-07T20:31:11.000Z			0	0		NULL	NULL	0	0	0	0
30688	414180	180746		that definitely was an anime episode	2026-01-07T20:27:26.000Z			0	0		NULL	NULL	0	0	0	0
30685	7460497	180746		Holy Sh*t I wonder what would be the reaction of a totally innocent person to this.   Edit: Bro gave up and ran away. I guess I chose the right person even the solo leveling 1, 2 episode scared them this was a given.	2026-01-07T19:33:11.000Z			0	0		NULL	NULL	0	0	0	0
